Department,Department Code,Program Code,DRF Program,Description EN,Description FR
Environment and Climate Change Canada,137,BGS03,Community Eco-Action,"The Community Eco-Action Program is a suite of initiatives aimed at increasing Canadians’ participation in activities to protect, conserve and restore the environment. The EcoAction Community Funding Program encourages local action-focused projects that will protect, rehabilitate, or enhance the natural environment, and build the capacity of communities to sustain these activities into the future. The Environmental Damages Fund receives fines resulting from successful prosecutions of environmental infractions as well as charitable donations to support actions that restore or enhance degraded environments. Funding to employers for youth internships through the Science Horizons Youth Internship Program under the Youth Employment Strategy enables youth to acquire the skills, learning experiences and opportunities they need to find and maintain employment or return to school in science, technology, engineering, and mathematics. The Federal Sustainable Development Strategy and the Canadian Environmental Sustainability Indicators provide tools, information and indicators to enable the consideration of the state of the environment and sustainable development in environmental decision-making of Canadians, the federal government and Parliament.","Le programme ÉcoAction communautaire consiste en une série d’initiatives destinées à accroître la participation des Canadiens dans des activités visant à protéger, conserver et restaurer l’environnement. Le programme de financement communautaire ÉcoAction encourage les projets locaux axés sur des actions visant à protéger, réhabiliter ou améliorer l’environnement, et à accroître la capacité des communautés pour soutenir la viabilité de ces activités dans le futur. Le Fonds pour dommages à l’environnement reçoit les sommes d'amendes provenant des poursuites judiciaires pour infractions environnementales, ainsi que des dons de charité, qu’il utilise pour soutenir des actions visant à restaurer et améliorer des milieux dégradés. Le financement d’employeurs de jeunes stagiaires, par l’initiative Horizons Sciences : Programme de stages pour les jeunes, permet à des jeunes d'acquérir des compétences, de vivre des expériences et de profiter d'occasions dont ils ont besoin pour trouver et maintenir un emploi ou poursuivre leurs études en science, technologie, ingénierie et mathématiques. La Stratégie fédérale de développement durable et les Indicateurs canadiens de durabilité de l’environnement fournissent des outils, de l’information et des indicateurs permettant de considérer l'état de l'environnement et du développement durable pour la prise de décisions touchant à l'environnement des Canadiens, du gouvernement fédéral et du Parlement."
Environment and Climate Change Canada,137,BGR01,Clean Growth and Climate Change Mitigation,"The Government of Canada has committed to a national emissions target of 30% below 2005 levels by 2030. The Clean Growth and Climate Change Mitigation program develops and implements regulations and other instruments to reduce greenhouse gas (GHG) emissions from the Oil and Gas, Transportation, Electricity and other Industrial sectors which make a significant contribution to total GHG emissions in Canada. This will be done through a comprehensive approach which includes climate science, policy, technical and economic analysis; developing and implementing regulations and other tools targeting emissions for key sources; negotiating agreements with provinces and territories to reduce emissions of GHGs and short-lived climate pollutants; maintaining an inventory of emissions; and making science and data accessible to support regulatory development and performance monitoring.","Le gouvernement du Canada s’est engagé à réduire de 30 % ses émissions nationales par rapport au niveau de 2005 d’ici 2030. Le programme Croissance propre et atténuation des changements climatiques élabore et met en place des règlements et d’autres instruments afin de réduire les émissions de gaz à effet de serre (GES) provenant des secteurs du pétrole et du gaz, des transports, de l’électricité et d'autres secteurs industriels dont la contribution aux émissions de GES est importante au Canada. Cela se fera par une approche exhaustive incluant la climatologie, l’analyse politique, technique et économique, l’élaboration et la mise en place d'une réglementation et d'autres outils visant les émissions de sources clés; la négociation d'ententes avec les provinces et les territoires afin de réduire les émissions de GES et de polluants de courte durée de vie; le maintien d'un inventaire des émissions; et l'accès à la science et aux données visant à soutenir le développement de la réglementation et le suivi du rendement."
Federal Economic Development Agency for Southern Ontario,150,BNM01,Advanced Manufacturing,"The Advanced Manufacturing program promotes the long-term growth, productivity and competitiveness of Ontario’s manufacturing sector, which is undergoing significant change. These objectives are achieved through repayable contributions to eligible Ontario manufacturing firms and non-repayable contributions to not-for-profit organizations, including research institutions, centres of excellence and post-secondary institutions located in Ontario that are collaborating with an anchor firm to benefit the manufacturing sector. Manufacturing is critical to Canada’s prosperity; it provides high-quality, well-paying jobs and is an important contributor to strong economic growth in Ontario. This program supports large-scale, incremental and transformative advanced manufacturing activities intended to increase productivity; advance the development and/or adoption of cutting-edge technologies leading to product, process and technological innovations; encourage projects that will create spillover benefits for manufacturing clusters and/or global supply chains; and foster collaboration between the private sector, research institutions and post-secondary institutions. This program uses funding from the following transfer payment: Advanced Manufacturing Fund.","Le programme Fabrication de pointe promeut la croissance, la productivité et la compétitivité à long terme du secteur manufacturier de l’Ontario qui, à l’heure actuelle, fait l’objet d’un changement important. Ces objectifs sont atteints par des contributions remboursables aux entreprises de fabrication admissibles de l’Ontario et des contributions non remboursables aux organismes à but non lucratif, y compris les institutions de recherche, les centres d’excellence et les établissements d’enseignement postsecondaire situés en Ontario qui collaborent avec une entreprise servant de point d'ancrage pour avantager le secteur manufacturier. Le secteur manufacturier est essentiel à la prospérité du Canada. Il offre des emplois de grande qualité et bien payés et il constitue un moteur important de la forte croissance économique en Ontario. Ce programme appuie les activités de fabrication de pointe progressives, porteuses de changement et à grande échelle visant à augmenter la productivité et le développement et/ou l’adoption de technologies de pointe donnant lieu à des innovations en matière de produits, de procédés et de technologies, à encourager les projets qui procurent des retombées avantageuses pour les grappes de la fabrication et/ou les chaînes d’approvisionnement mondiales, et à favoriser la collaboration entre le secteur privé, les institutions de recherche et les établissements d’enseignement postsecondaire. Ce programme a recours au financement du paiement de transfert suivant : Fonds de fabrication de pointe."
Federal Economic Development Agency for Southern Ontario,150,BNM07,Eastern Ontario Development Program,"The economic challenges facing eastern Ontario have been exacerbated in recent years by the global recession and the ongoing restructuring in the manufacturing sector. Eastern Ontario’s relatively large working-age population is characterized by a high share of older workers, and the region’s youth are leaving the area for other opportunities. Furthermore, the economic hardship felt by workers, families and communities in this region is reflected in its relatively lower wages and household incomes, lower labour force participation, and higher proportion of people receiving employment insurance benefits compared to Ontario overall. The Eastern Ontario Development Program advances economic development in eastern Ontario, particularly rural communities. Through this program, FedDev Ontario is collaborating with the 15 Community Futures Development Corporations in eastern Ontario and the Eastern Ontario Community Futures Development Corporations Network Inc. to promote the growth of new and existing businesses in rural communities. Funding is directed to recipients whose projects focus on business growth, community innovation, and/or collaborative economic development. This program uses funding from the following transfer payment: Eastern Ontario Development Program.","Les défis économiques auxquels est confronté l’Est de l’Ontario ont été aggravés au cours des dernières années par la récession mondiale et la restructuration en cours du secteur manufacturier. La population active assez importante de l’est de l’Ontario est caractérisée par une grande proportion de travailleurs âgés, et les jeunes de la région quittent le secteur pour d’autres débouchés. De plus, les difficultés économiques subies par les travailleurs, les familles et les collectivités de cette région se reflètent par des salaires et des revenus du ménage relativement inférieurs, une faible participation à la vie active et une plus grande proportion de personnes qui reçoivent des prestations d’assurance emploi par rapport à l’ensemble de l’Ontario. Le Programme de développement de l’Est de l’Ontario fait avancer le développement économique dans l’Est ontarien, en particulier les collectivités rurales. Par ce programme, FedDev Ontario collabore avec les 15 Sociétés d’aide au développement des collectivités dans l’Est de l’Ontario et le Réseau des sociétés d’aide au développement des collectivités de l’est de l’Ontario pour favoriser la croissance d’entreprises nouvelles et existantes dans les collectivités rurales. Le financement est consacré aux personnes dont les projets sont axés sur la croissance de l’entreprise, l’innovation communautaire et/ou le développement économique coopératif. Ce programme puise dans des fonds tirés du paiement de transfert suivant : le Programme de développement des collectivités."
Federal Economic Development Agency for Southern Ontario,150,BNM03,Business Growth and Productivity,Southern Ontario companies need to increase productivity to remain competitive in the global economy. The Business Growth and Productivity program provides repayable and non-repayable contributions to for-profit and not-for profit corporations to help improve productivity of individual businesses and industry sectors so that southern Ontario can be more competitive. This program uses funding from the following transfer payment: Southern Ontario Prosperity Initiatives.,Les entreprises du Sud de l’Ontario doivent accroître leur productivité en vue de demeurer concurrentielles dans l’économie mondiale. Le programme Croissance et productivité des entreprises fournit des contributions remboursables et non remboursables aux sociétés à but lucratif et à but non lucratif afin d’aider à améliorer la productivité des entreprises individuelles et des secteurs de l’industrie afin d’accroître la compétitivité du Sud de l’Ontario. Ce programme puise dans des fonds tirés du paiement de transfert suivant : Initiatives pour la prospérité du Sud de l’Ontario.
Federal Economic Development Agency for Southern Ontario,150,BNM04,Business Investment,"The Business Investment program provides non-repayable contributions to not-for-profit organizations offering mentorship, entrepreneurial support and seed financing to help new businesses grow and succeed. Not-for-profit recipients under this program can include incubators and accelerators, as well as angel investor networks that encourage increased investment in new businesses. Repayable contributions are also provided to start-up businesses to accelerate the commercialization of new products, processes and practices by leveraging private-sector investment. This program uses funding from the following transfer payment: Southern Ontario Prosperity Initiatives.","Le programme Investissement dans les entreprises fournit des contributions non remboursables aux organisations à but non lucratif qui offrent du mentorat, du soutien aux entrepreneurs et du financement de démarrage afin d’aider les nouvelles entreprises à grandir et à réussir. Parmi les bénéficiaires à but non lucratif de ce programme, on trouve les incubateurs et les accélérateurs, de même que les réseaux d’investisseurs providentiels qui encouragent un plus grand investissement dans les nouvelles entreprises. Des contributions remboursables sont aussi offertes aux entreprises en démarrage afin d’accélérer la commercialisation de nouveaux produits, de nouveaux procédés et de nouvelles pratiques en tirant parti de l’investissement du secteur privé. Ce programme puise dans des fonds tirés du paiement de transfert suivant : Initiatives pour la prospérité du Sud de l’Ontario."
Federal Economic Development Agency for Southern Ontario,150,BNM09,Regional Diversification,"By bringing not-for-profit organizations and private and community partners together to build on economic advantages, the Regional Diversification program aims to respond to regional challenges and opportunities and to develop mechanisms for creating competitive and resilient communities. This program supports the long-term development of stronger, more diverse economies in southern Ontario communities through the leveraging of unique regional assets and local expertise to attract new investment and opportunities for regional economic growth and development. Funding will support projects that enhance business attraction, investment and employment opportunities in southern Ontario regions and communities; strengthen regional businesses and clusters with the goal of economic diversification and sustainability; develop and expand collaborative efforts to strengthen regional assets and competitiveness; and improve economic circumstances of communities facing distress. This program uses funding from the following transfer payment: Southern Ontario Prosperity Initiatives.","En réunissant les organisations à but non lucratif et des partenaires privés et de la collectivité afin de miser sur les avantages économiques, le programme Diversification régionale vise à répondre aux défis et aux possibilités régionales et à élaborer des mécanismes pour créer des collectivités concurrentielles et résilientes. Ce programme soutient le développement à long terme d’économies plus solides et plus diversifiées dans les collectivités du Sud de l’Ontario en tirant profit d’actifs uniques et d’un savoir faire local afin d’attirer de nouveaux investissements et des possibilités de croissance et de développement économique régional. Le financement appuiera les projets qui : accroissent l’attraction des entreprises, des investissements et des possibilités d’emploi dans les régions et les collectivités du Sud de l’Ontario; renforcent les entreprises et les regroupements régionaux aux fins de la diversification économique et de la durabilité; développent et élargissent les efforts de collaboration en vue de renforcer les atouts régionaux et la compétitivité; et améliorent les conditions économiques des collectivités faisant face à une situation de détresse. Ce programme puise dans des fonds tirés du paiement de transfert suivant : Initiatives pour la prospérité du Sud de l’Ontario."
Federal Economic Development Agency for Southern Ontario,150,BNM02,Commercialization Partnerships,"The Commercialization Partnerships program supports business-led partnerships with a focus on developing globally competitive products and services. Increased collaboration among businesses, post-secondary institutions and research organizations narrows the gap between innovation and commercialization. This program helps to increase the capacity of existing and emerging innovation ecosystems and the development of competitive economic clusters in southern Ontario. This program provides non-repayable contributions to post-secondary institutions and not-for-profit organizations to encourage technology transfer between research and business to help bring new ideas to market. This program uses funding from the following transfer payment: Southern Ontario Prosperity Initiatives.","Le programme Partenariats de commercialisation appuie des partenariats dirigés par les entreprises en mettant l’accent sur le développement de produits et de services concurrentiels à l’échelle mondiale. Une collaboration accrue entre les entreprises, les établissements d’enseignement postsecondaire et les organismes de recherche rétrécit l’écart entre l’innovation et la commercialisation. Ce programme aide à renforcer la capacité des écosystèmes d’innovation actuels et émergents et l’élaboration de grappes économiques concurrentielles dans le Sud de l’Ontario. Ce programme offre des contributions non remboursables aux établissements d’enseignement postsecondaire et aux organismes à but non lucratif afin d’encourager le transfert de la technologie entre la recherche et les affaires afin d’aider à lancer de nouvelles idées dans le marché. Ce programme puise dans des fonds tirés du paiement de transfert suivant : Initiatives pour la prospérité du Sud de l’Ontario."
Federal Economic Development Agency for Southern Ontario,150,BNM06,Community Futures Program,"Rural southern Ontario continues to face persistent challenges: limited sources of capital for small and medium-sized enterprises; consistently lower economic performance than in more urban areas; a declining number of available jobs; an aging workforce; and youth out-migration. The Community Futures Program is a national program that provides funding to Community Futures Development Corporations so that they can help rural communities develop their local economies and long-term sustainability. Community Futures Development Corporations generally focus on the following four business lines: business loans, business counselling, strategic community planning and priorities, and community economic development projects. This program uses funding from the following transfer payment: Community Futures Program.","Le Sud de l’Ontario rural continue d’être confronté à des défis persistants : sources de capital limitées pour les petites ou moyennes entreprises; rendement économique constamment inférieur à celui des régions plus urbaines; un nombre décroissant d’emplois disponibles; un effectif vieillissant et l’exode des jeunes. Le Programme de développement des collectivités est un programme national qui fournit un financement aux Sociétés d’aide au développement des collectivités afin qu’elles puissent aider les collectivités rurales à développer leur économie et leur durabilité à long terme. Les Sociétés d’aide au développement des collectivités mettent généralement l’accent sur les quatre secteurs d’activités suivants : prêts aux entreprises, conseils aux entreprises, priorités et planification stratégiques communautaires et projets de développement économique des collectivités. Ce programme puise dans des fonds tirés du paiement de transfert suivant : le Programme de développement des collectivités."
Fisheries and Oceans Canada,125,BTF01,Fisheries Management,"The Fisheries Management program administers Canada’s fisheries in consultation with Indigenous groups, federal departments, other levels of government, private industry and non-governmental stakeholders. The program promotes sustainability, allocating harvestable resources amongst Indigenous rights holders, commercial harvesters and recreational anglers. It derives authority from the Fisheries Act, Species at Risk Act and related regulations and relies on scientific assessments to develop tools such as Integrated Fisheries Management Plans and Rebuilding Plans.","Dans le cadre du Programme de gestion des pêches, les pêches canadiennes sont administrées en consultation avec les groupes autochtones, les ministères fédéraux, d'autres ordres de gouvernement, l'industrie privée et des intervenants non gouvernementaux. Le programme favorise la durabilité en attribuant des ressources récoltables parmi les détenteurs de droit autochtones, pêcheurs commerciaux et les pêcheurs sportifs. Il tire son autorité de la Loi sur les pêches, de la Loi sur les espèces en péril et des règlements connexes, et il s'appuie sur des évaluations scientifiques pour mettre au point des outils tels que les plans de gestion intégrée des pêches et les plans de rétablissement."
Fisheries and Oceans Canada,125,BTF10,Aquaculture Science,"The objectives of the Aquaculture Science Program are to provide a strong science base to underpin regulatory, policy, and program decision-making, thereby increasing the stability and soundness of aquaculture-related decisions. Additionally, through collaborative research with the aquaculture industry, the Aquaculture Science Program helps to improve the sustainability of the industry, facilitate technology transfer and knowledge mobilization, and increase the scientific capacity of the Canadian aquaculture industry. Science for decision-making contributes to transparency and public confidence. The key activities to achieve these objectives will include: (1) providing scientifically peer-reviewed risk assessments and associated advice for key aquaculture-environment interactions, including fish health; (2) conducting targeted regulatory research in areas such as fish pest and pathogen interactions, cumulative effects, ecosystem management and interactions with wild populations; (3) providing scientific advice on the development of national standards, the development and implementation of indicators and area-based options for addressing overlapping management considerations; (4) conducting collaborative research to enhance environmental performance and to optimize cultured fish health; (5) initiating long-term far-field environmental monitoring of aquaculture impacts; and, (6) initiating long-term ecosystem-based research on aquaculture-environmental interactions.","Le Programme des sciences de l'aquaculture consiste à procurer une solide base scientifique pour appuyer la prise de décisions relativement à la réglementation, aux politiques et aux programmes, renforçant ainsi la stabilité et la solidité des décisions liées à l'aquaculture. En outre, grâce aux activités de recherche effectuées en collaboration avec l'industrie aquacole, le Programme des sciences de l'aquaculture contribue à améliorer la durabilité de l'industrie, facilite le transfert de technologie et la mobilisation des connaissances, et accroît les capacités scientifiques de l'industrie aquacole canadienne. La recherche à l'appui de la prise de décisions contribue à la transparence et favorise la confiance du public. Les activités clés permettant d’atteindre ces objectifs seront les suivantes : (1) fournir des évaluations des risques ayant fait l'objet d'un examen scientifique par les pairs et des avis connexes sur les principales interactions entre l'aquaculture et l'environnement, y compris la santé des poissons; (2) mener des recherches réglementaires ciblées dans des domaines comme les interactions entre les parasites et les agents pathogènes qui affectent les poissons, les effets cumulatifs, la gestion des écosystèmes et les interactions avec les populations sauvages; (3) fournir des avis scientifiques sur l'élaboration de normes nationales, l’élaboration et la mise en place d'indicateurs et d'options par zone afin de gérer les recoupements des différentes composantes de la gestion; (4) réaliser des recherches concertées pour améliorer le rendement environnemental et optimiser la santé des poissons d'élevage; (5) entreprendre la surveillance environnementale des impacts de l’aquaculture à distance à long terme; (6) entamer des recherches écosystémiques à long terme sur les interactions entre l'aquaculture et l'environnement."
Fisheries and Oceans Canada,125,BTF03,Aquaculture Management,"The goal of Aquaculture Management is to contribute to an environmentally, economically and socially sustainable Canadian aquaculture sector. To achieve that goal, the Program leads and manages the Departmental regulatory frameworks. The Program derives its regulatory mandate from the Fisheries Act and also takes a lead role in regulatory management of aquaculture in British Columbia. In all provinces and territories, DFO builds partnerships with other federal and provincial/territorial departments for coordinating and implementing regulatory frameworks and management decisions. Partnerships are also maintained with Indigenous peoples and the aquaculture industry. The Program’s regulation and policy development activities are supported by aquaculture research and peer-reviewed science advice carried out by the Department.","L'objectif de la gestion de l'aquaculture est de contribuer à la durabilité du secteur de l'aquaculture canadienne sur le plan environnemental, économique et social. Pour atteindre ce but, le programme dirige et gère les cadres de réglementation du ministère. Le programme tire son mandat réglementaire de la Loi sur les pêches et tient également un rôle de premier plan dans la gestion de la réglementation de l'aquaculture en Colombie-Britannique. Dans toutes les provinces et tous les territoires, le MPO établit des partenariats avec d'autres ministères fédéraux, provinciaux et territoriaux pour coordonner et mettre en œuvre des cadres réglementaires et des décisions de gestion. Les partenariats sont également entretenus avec les peuples autochtones et l'industrie de l'aquaculture. Les activités d'élaboration de politiques et de règlements du programme sont appuyées par la recherche en aquaculture et les avis scientifiques examinés par les pairs effectués par le Ministère."
Global Affairs Canada,126,BVB02,"Trade, Investment and International Economic Policy","Through this program, Global Affairs Canada prepares coherent, integrated, evidence-based and timely economic policy analysis and advice, in alignment with government priorities. This analysis and advice contributes to the advancement of global trade and investment opportunities, multilateral, international, regional and bilateral diplomatic initiatives, and international assistance priorities. Analysis and advice are consistent with the policies governing Canada’s presence abroad and with Canada’s international legal obligations.","Par l’intermédiaire du programme, Affaires mondiales Canada prépare en temps voulu des analyses et des conseils économiques stratégiques et opérationnels cohérents, intégrés et fondés sur des données probantes qui correspondent aux priorités gouvernementales. Ces analyses et conseils contribuent à faire progresser les occasions de commerce et d’investissement à l’échelle mondiale, les initiatives diplomatiques multilatérales, internationales, régionales et bilatérales, de même que les priorités en matière d’aide internationale. Les analyses et conseils respectent les politiques qui régissent la présence du Canada à l’étranger et les obligations juridiques internationales du pays."
Global Affairs Canada,126,BVC03,International Business Development,"The International Business Development program delivers commercial services and advice to Canadian businesses and supports their pursuit of international business opportunities, as well as attract international students to Canada. This is primarily achieved through Canada’s Trade Commissioner Service, which helps Canadian businesses navigate export markets and connect to global value chains, and organizes sector-specific, targeted trade missions to priority markets. The program also develops the agenda for the department’s international commerce files, fosters coherence with partners, and enables our network to promote Canadian prosperity and competitiveness and client success. It has a strong measurement and results framework in place.","Le programme de développement du commerce international offre des services et des conseils aux entreprises canadiennes, les appuie dans leur recherche de débouchés commerciaux à l’échelle internationale et les aide à attirer des étudiants étrangers au Canada. Cet objectif est principalement atteint grâce au Service des délégués commerciaux du Canada, qui aide les entreprises du pays à naviguer dans les marchés d’exportation et à accéder aux chaînes de valeur mondiales, et qui organise des missions commerciales ciblant des secteurs précis dans des marchés prioritaires. En outre, le programme élabore les initiatives liées aux dossiers de commerce international du Ministère, encourage l’uniformité avec les partenaires et permet au réseau du Canada de faire la promotion de la prospérité et de la compétitivité du pays ainsi que du succès de ses clients. Le programme a mis en place un cadre de mesure et de résultats solide."
Global Affairs Canada,126,BVC04,International Innovation and Investment,"Foreign direct investment is attracted to Canada through a targeted investment promotion and services plan including creation of an Invest in Canada Hub. Investor knowledge and interest in Canada is increased through outreach and events to promote Canada as a premier choice for investment. Provision of quality services to potential investors is strengthened and opportunities advanced through the Global Affairs Canada network abroad and enhancing collaboration with the broader investment partnership in Canada Canadian industry’s innovation efforts are maximized through the execution of International Science, Technology and Innovation (STI) initiatives aligned with Government of Canada STI priorities, including with the Inclusive Innovation Agenda. Canadian businesses gain increased access to international technology networks, partners and resources in knowledge-intensive, export-driven sectors, through the continued delivery of International Science, Technology & Innovation initiatives.","Le Canada attire de l’investissement direct étranger par le truchement d’un plan ciblé de service et de promotion des investissements, y compris la création d’Investir au Canada. Les activités de diffusion et les événements qui visent à faire la promotion du Canada comme premier choix en matière d’investissement permettent d’accroître la sensibilisation et l’intérêt des investisseurs envers le Canada. Le réseau d’Affaires mondiales Canada à l’étranger permet de renforcer la prestation de services de qualité et de promouvoir des occasions. De plus, en favorisant la collaboration avec les partenaires d’investissement au Canada, les activités de l’industrie canadienne en matière d’innovation sont optimisées, par la réalisation d’initiatives en science, en technologie et en innovation qui correspondent aux priorités du gouvernement du Canada à ce chapitre, y compris le Programme inclusif d’innovation. Les entreprises canadiennes ont un accès accru aux réseaux, aux ressources et aux partenaires internationaux en matière de technologie dans les secteurs axés sur le savoir et l’exportation par la prestation continue des initiatives internationales en science, en technologie et en innovation."
"Innovation, Science and Economic Development Canada",130,BNP01,Innovation in Business,"The Innovation in Business program makes it easier for Canadian businesses to access the support they need to research, develop and commercialize innovative processes and products. It ensures Government of Canada innovation programs are cohesive and responsive to the needs of innovators. The program administers the Strategic Innovation Fund (SIF), which brings together previous funds (Automotive Innovation Fund, Automotive Supplier Innovation Program, Strategic Aerospace and Defence Initiative, and Technology Demonstration Program), while also expanding access to other sectors such as clean technology and agri-food. It also delivers these programs: Accelerated Growth Service, to facilitate the growth of Canadian SMEs by providing client-centric, better-coordinated service delivery across the federal government; Service Strategy and Marketing, a “one-stop-shop” for innovators and entrepreneurs to find and access programs easier and faster; Innovative Solutions Canada (ISC), to provide businesses with an opportunity to develop and validate new technologies and services in a government environment. The program supports the following departmental results: Canadian innovators have simplified access to tools and support; Canada becomes a leader in clean technologies; Canadian companies are globally competitive and achieve high growth; and Canada is a location and destination of choice for investment, growth and innovation. This program uses funding from the SIF and the ISC.","Le programme Innovation dans les entreprises permet aux entreprises canadiennes d’accéder plus facilement au soutien dont elles ont besoin pour faire des recherches sur des procédés et des produits novateurs et pour les mettre au point et les commercialiser. Il permet au gouvernement du Canada de s’assurer que les programmes d’innovation sont cohérents et répondent aux besoins des innovateurs. Le programme assure la gestion du Fonds stratégique pour l’innovation, qui rassemble d’anciens fonds (le Fonds d’innovation pour le secteur de l’automobile, le Programme d’innovation pour les fournisseurs du secteur de l’automobile, l’Initiative stratégique pour l’aérospatiale et la défense et le Programme de démonstration de technologies), tout en élargissant l’accès à d’autres secteurs tels que les technologies propres et l’agroalimentaire. Il assure également la prestation des programmes suivants : le Service de croissance accélérée, visant à faciliter la croissance des petites et moyennes entreprises (PME) en offrant des services mieux coordonnés et axés sur le client à l’échelle du gouvernement fédéral; le groupe responsable de la stratégie de marketing et de prestation des services, un guichet unique où les innovateurs et les entrepreneurs peuvent trouver des programmes et y accéder plus facilement et plus rapidement; le programme Solutions innovatrices Canada, qui offre aux entreprises l’occasion de mettre au point et de valider de nouvelles technologies et de nouveaux services dans un environnement gouvernemental. Le programme vient appuyer les résultats ministériels suivants : « Les innovateurs canadiens ont plus facilement accès aux outils et aux mesures de soutien », « Le Canada est un chef de file en matière de technologies propres », « Les entreprises canadiennes sont compétitives à l’échelle mondiale et connaissent une forte croissance » et « Le Canada est une destination de choix en matière d’investissement, de croissance et d’innovation ». Ce programme utilise les fonds du Fonds stratégique pour l’innovation et de Solutions innovatrices Canada."
"Innovation, Science and Economic Development Canada",130,BNP05,Digital Service,"The Digital Service Program recognises the growing need for digital innovation in the public sector, in support of a government priority on “Improving Delivery and Quality of Government Services. It also recognises the ongoing need for improving access to relevant government information and services for Canadian businesses, in particular entrepreneurs and small and medium-sized enterprises (SMEs), to help them start and grow. The Digital Service Program aims to make ISED a leader in digital service to business, by charting a course for client-centric digital services, fostering leading-edge digital service provision to clients, modelling open government, and providing foundational digital services that support firms so they can start, connect and grow. It will do this by overseeing a digital strategy for the design and delivery of innovative, efficient and technologically enabled service and information to business. By leveraging digital innovations and making better use of data, the Digital Service Program will advance the transformation of ISED’s digital service and further the development of joined-up services in collaboration with other federal organizations and public sector jurisdictions. By understanding our clients’ views on government services, and their priorities, ISED will foster an approach to delivery to achieve the greatest results, aligned with Canada’s ambitions for inclusive and sustainable economic growth.","Le programme des services numériques reconnaît le besoin croissant d’innovation numérique dans le secteur public afin de soutenir la priorité du gouvernement consistant à « améliorer la prestation et la qualité des services gouvernementaux ». Il reconnaît également le besoin continu d’améliorer l’accès à l’information et aux services gouvernementaux utiles aux entreprises canadiennes, en particulier les entrepreneurs et les petites et moyennes entreprises (PME) afin de les aider à démarrer et à croître. Le programme des services numériques cherche à faire d’ISDE un chef de file des services numériques aux entreprises en traçant la voie pour les services numériques axés sur la clientèle, en encourageant la prestation de services numériques performants aux clients, en modélisant le gouvernement transparent et en procurant des services numériques fondamentaux qui soutiennent les entreprises afin qu’elles puissent démarrer, communiquer et croître. Il y parviendra en supervisant une stratégie numérique pour la conception et la prestation aux entreprises d’information et de services novateurs, efficaces et assistés par des moyens technologiques. En tirant profit des innovations numériques et en faisant un meilleur usage des données, le programme des services numériques fera progresser la transformation des services numériques d’ISDE et la mise sur pied de services communs en collaboration avec d’autres organisations fédérales et administrations du secteur public. En comprenant la perception de nos clients des services gouvernementaux et leurs priorités, ISDE encouragera une approche d’exécution d’engagements pour atteindre les meilleurs résultats possible, et ce, en accord avec les ambitions du Canada d’une croissance économique inclusive et durable."
"Innovation, Science and Economic Development Canada",130,BNP02,Support and Financing for Small Business,"The Support and Financing for Small Business Program provides support and financing to small and medium sized enterprises (SMEs) to help ensure Canadian companies are globally competitive and achieve high growth; provides Canadian SMEs access financing that would not otherwise be available or would be available only under less favourable terms; and aims to strengthen Canada's network of business accelerators and incubators (BAI) across the country. This program also provides oversight and challenge function for the Business Development Bank of Canada, and promotes understanding of the challenges small businesses face in adopting business practices that help them to grow and innovate. This program supports the departmental results ""Canadian companies are globally competitive and achieve high growth” and “Canadian innovators have simplified access to tools and support” under the Companies, Investment and Growth core responsibility. This program provides loan guarantees to SMEs through the statutory program: Canada Small Business Financing Program.","Le programme d’aide et de financement des petites entreprises offre du soutien et des fonds aux petites et moyennes entreprises (PME) pour s’assurer que les entreprises canadiennes sont compétitives à l’échelle mondiale et connaissent une forte croissance, permet aux PME canadiennes d’obtenir du financement qu’elles n’auraient pas pu obtenir autrement ou qui aurait été offert sous des conditions moins intéressantes, et vise à renforcer le réseau canadien d’accélérateurs et d’incubateurs d’entreprises à l’échelle du pays. Ce programme offre également une fonction de surveillance et de remise en question à la Banque de développement du Canada et favorise la compréhension des défis auxquels se heurtent les petites entreprises dans l’adoption de pratiques commerciales qui facilitent la croissance et l’innovation. Ce programme vient appuyer les résultats ministériels « Les entreprises canadiennes sont compétitives à l’échelle mondiale et connaissent une forte croissance » et « Les innovateurs canadiens ont plus facilement accès aux outils et aux mesures de soutien » qui s’inscrivent sous la responsabilité essentielle Entreprises, investissement et croissance. Ce programme offre des garanties de prêt aux PME par l’intermédiaire du programme législatif intitulé Programme de financement des petites entreprises du Canada."
